smoke/dense/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	103s
smoke/dense/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	111s
smoke/dense/F-M2/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	95s
smoke/quant/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn8	ok	41s
smoke/quant/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn4	ok	41s
smoke/quant/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/gptq4	ok	170s
smoke/quant/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn8	ok	45s
smoke/quant/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn4	ok	45s
smoke/quant/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/gptq4	ok	163s
smoke/quant/F-M2/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn8	ok	41s
smoke/quant/F-M2/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn4	ok	43s
smoke/quant/F-M2/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/gptq4	ok	172s
smoke/directional/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	13s
smoke/directional/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	15s
smoke/residual/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	36s
smoke/residual/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	37s
smoke/packed/F-M1/--batch-size/16	ok	624s
smoke/packed/F-M3/--batch-size/16	ok	381s
smoke/analysis/-/--models/F-M1/F-M2/F-M3	ok	rerun-after-fix
smoke/validate/-/--models/F-M1/F-M2/F-M3	ok	rerun-after-fix
full/dense/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	92s
full/dense/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	130s
full/dense/F-M2/--device/cuda/--attn/flash_attention_2/--batch-size/16	ok	100s
full/quant/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn8	ok	89s
full/quant/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn4	ok	90s
full/quant/F-M1/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/gptq4	ok	240s
full/quant/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn8	ok	110s
full/quant/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn4	ok	115s
full/quant/F-M3/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/gptq4	ok	281s
full/quant/F-M2/--device/cuda/--attn/flash_attention_2/--batch-size/16/--condition/rtn8	ok	91s
