model,layer,source,amp_ratio,amp_lo,amp_hi,logit_ratio,logit_lo,logit_hi,percentile_amp,close_to_random_amp
F-M1,0,gptq4,0.868,0.819,0.916,0.958,0.868,1.048,0.19,False
F-M1,0,rtn4,1.104,1.013,1.204,1.089,0.916,1.35,0.81,False
F-M1,0,rtn8,0.953,0.935,0.972,0.842,0.672,1.091,0.25,False
F-M1,4,gptq4,1.51,1.391,1.695,1.875,1.683,2.019,1.0,False
F-M1,4,rtn4,1.253,1.195,1.33,1.478,1.196,2.018,1.0,False
F-M1,4,rtn8,1.029,1.009,1.048,1.273,1.107,1.397,0.81,False
F-M3,0,gptq4,2.102,1.956,2.326,1.429,1.238,1.769,1.0,False
F-M3,0,rtn4,1.23,1.059,1.376,1.41,0.835,2.001,0.75,False
F-M3,0,rtn8,0.957,0.92,0.985,1.092,0.862,1.242,0.12,False
F-M3,5,gptq4,1.403,1.269,1.5,1.67,1.462,1.85,0.94,False
F-M3,5,rtn4,1.322,1.202,1.494,1.506,1.275,1.879,1.0,False
F-M3,5,rtn8,0.959,0.883,1.033,1.08,0.836,1.408,0.44,True
