model,condition,n_dense_correct,n_anti_dense_correct,D_task,D_task_lo,D_task_hi,D_stereo,D_stereo_lo,D_stereo_hi,Delta_G,Delta_G_lo,Delta_G_hi,dD_stereo_vs_rtn8,p_holm_H2
F-M1,rtn8,9471,3926,0.0042,0.003,0.0056,0.0069,0.0045,0.0097,-0.001,-0.0044,0.0024,nan,
F-M1,rtn4,9471,3926,0.1609,0.1494,0.1731,0.188,0.172,0.2047,-0.0439,-0.062,-0.0267,0.1811,0.0011997600479904018
F-M1,gptq4,9471,3926,0.0793,0.0722,0.0871,0.1146,0.1027,0.1275,0.0079,-0.0041,0.0198,0.1077,0.0011997600479904018
F-M1,packed_gptq4,9471,3926,0.0831,0.0758,0.0909,0.1184,0.1061,0.1315,0.0063,-0.0062,0.0188,nan,
F-M2,rtn8,9838,4267,0.004,0.0028,0.0053,0.0068,0.0047,0.0094,0.0021,-0.0007,0.005,nan,
F-M2,rtn4,9838,4267,0.0436,0.039,0.0484,0.0663,0.0581,0.0754,0.0092,0.0002,0.0184,0.0595,0.0011997600479904018
F-M2,gptq4,9838,4267,0.0361,0.032,0.0405,0.0548,0.0479,0.0626,-0.0003,-0.0096,0.0086,0.048,0.0011997600479904018
F-M3,rtn8,10768,4861,0.0033,0.0023,0.0046,0.0056,0.0036,0.0078,0.0011,-0.0013,0.0036,nan,
F-M3,rtn4,10768,4861,0.0658,0.0603,0.0716,0.1086,0.0977,0.1202,0.0322,0.0219,0.0431,0.1031,0.0011997600479904018
F-M3,gptq4,10768,4861,0.0643,0.0587,0.0698,0.1092,0.0986,0.12,0.0439,0.034,0.0537,0.1037,0.0011997600479904018
F-M3,packed_gptq4,10768,4861,0.0423,0.0379,0.047,0.0716,0.0638,0.0803,0.0204,0.0129,0.0282,nan,
