smoke/legacy/M1	ok	36s
smoke/legacy/M3	ok	100s
smoke/legacy/M5	ok	125s
smoke/legacy/M3/--dtype/fp16	ok	30s
smoke/legacy/M5/--dtype/fp16	ok	33s
smoke/b1/M1/--granularity/layer	ok	51s
smoke/b1/M1/--granularity/component	ok	50s
smoke/b1/M3/--granularity/layer	ok	58s
smoke/b1/M3/--granularity/component	ok	58s
smoke/b1/M5/--granularity/layer	ok	59s
smoke/b1/M5/--granularity/component	ok	61s
smoke/restore/M3	ok	80s
smoke/restore/M5	ok	83s
full/legacy/M1	ok	14s
full/legacy/M3	ok	16s
full/legacy/M5	ok	19s
full/legacy/M3/--dtype/fp16	ok	30s
full/legacy/M5/--dtype/fp16	ok	31s
full/b1/M1/--granularity/layer	ok	79s
full/b1/M1/--granularity/component	ok	101s
full/b1/M3/--granularity/layer	ok	183s
full/b1/M3/--granularity/component	ok	239s
full/b1/M5/--granularity/layer	ok	194s
full/b1/M5/--granularity/component	ok	265s
full/restore/M3	ok	110s
full/restore/M5	ok	120s
